,Edit,Date,Trades,"Corp. Act.",Cash,Total
,,05/12/2026,,,"$149,778.22","$113,711,130.86"
,,05/11/2026,,,"$149,778.22","$114,157,746.86"
,,05/08/2026,,,"$149,778.22","$113,369,022.06"
,,05/07/2026,,,"$149,778.22","$112,597,065.40"
,,05/06/2026,,,"$149,778.22","$114,808,988.02"
,,05/05/2026,,,"$149,778.22","$113,753,345.77"
,,05/04/2026,,,"$149,778.22","$112,596,735.52"
,,05/01/2026,,,"$149,778.22","$112,418,174.36"
,,04/30/2026,,,"$149,778.22","$111,995,712.99"
,,04/29/2026,,,"$149,778.22","$109,331,620.78"
,,04/28/2026,,,"$149,778.22","$109,294,504.65"
,,04/27/2026,,D,"$149,778.22","$110,610,670.59"
,,04/24/2026,T,,"$135,301.74","$109,265,203.86"
,,04/23/2026,,,"$129,144.03","$108,985,509.94"
,,04/22/2026,,,"$129,144.03","$109,046,119.21"
,,04/21/2026,,,"$129,144.03","$107,598,353.64"
,,04/20/2026,,,"$129,144.03","$108,228,713.27"
,,04/17/2026,,,"$129,144.03","$108,142,230.40"
,,04/16/2026,,,"$129,144.03","$107,490,115.60"
,,04/15/2026,,,"$129,144.03","$107,449,700.86"
,,04/14/2026,,,"$129,144.03","$106,883,030.93"
,,04/13/2026,T,,"$129,144.03","$105,806,600.69"
,,04/10/2026,,,"$283,839.74","$104,776,771.55"
,,04/09/2026,,,"$283,839.74","$103,416,239.19"
,,04/08/2026,,,"$283,839.74","$103,162,244.87"
,,04/07/2026,,,"$283,839.74","$101,968,134.24"
,,04/06/2026,,D,"$283,839.74","$101,666,447.65"
,,04/02/2026,,D,"$264,434.60","$101,458,065.90"
,,04/01/2026,,,"$263,799.70","$100,571,449.33"
,,03/31/2026,,M,"$263,799.70","$99,744,715.48"
,,03/30/2026,,,"$160,869.78","$97,550,907.29"
,,03/27/2026,T,M,"$160,869.78","$98,703,225.63"
,,03/26/2026,,,"$123,944.55","$100,206,394.66"
,,03/25/2026,,,"$123,944.55","$102,561,923.11"
,,03/24/2026,,,"$123,944.55","$101,845,459.62"
,,03/23/2026,T,,"$123,944.55","$102,234,686.53"
,,03/20/2026,,,"$112,816.70","$100,927,559.41"
